Name,Platform,Year,Genre,Publisher
Mass Effect 2,"Microsoft Windows, Xbox 360",2010,Action role-playing,BioWare
The Elder Scrolls V: Skyrim,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action role-playing,Bethesda Game Studios
Super Mario Galaxy,Wii,2007,Platformer,Nintendo EAD Tokyo
Fallout 3,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action role-playing,Bethesda Game Studios
Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog
Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego
Batman: Arkham City,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action-Adventure,Rocksteady Studios
The Walking Dead,"iOS, Microsoft Windows, OS X, PlayStation 3, Xbox 360",2012,Graphic adventure,Telltale Games
The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog
Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
007 Legends,PlayStation 3,N/A,First-person shooter,Activision
1000 Amps,"Microsoft Windows, OS X",2012,"Platform-adventure, puzzle, Metroidvania[1]",Brandon Brizzi
99 Levels To Hell,"Linux, OS X, Microsoft Windows",2012,Role-playing,Zaxis Games
99 Spirits,Microsoft Windows,2013,"Puzzle, role-playing",JP: Toraiki
A-Train 8,"Amiga, Famicom, FM-7, Mac, Mega Drive, MSX2, Nintendo DS, Nintendo 3DS, PC-8800, PC-9800, PC Engine, PlayStation, PlayStation 2, PlayStation Portable, Sharp X1, Sharp X68000, Super Famicom, Virtual Console (Wii), Windows, Xbox 360",N/A,Vehicle Simulation Game,JP: Artdink
A.R.E.S.,Microsoft Windows,2010,"Action, platform",Origo Games
AI War Fleet Command,"Microsoft Windows, Mac OS X, Linux",2009,Real-time Strategy,Arcen Games
APOX,Microsoft Windows,2011,"Real Time Strategy, Indie, Action",BlueGiant Interactive
ARK Survival Evolved,Linux,2017,"Action-adventure, survival",Studio Wildcard
AaAaAA!!! - A Reckless Disregard for Gravity,iOS,2009,Simulation,Dejobaan Games
Abyss Odyssey,"Microsoft Windows, PlayStation 4, PlayStation 3, Xbox 360",Xbox,"Roguelike, action-adventure",Atlus
Afterfall InSanity Extended Edition,Microsoft Windows,N/A,"Survival horror, third-person shooter",Nicolas Entertainment Group
Agarest Zero,"PlayStation 3, Xbox 360, Microsoft Windows, Android OS, iOS",2009,Tactical RPG,"JP: Compile Heart, Red Entertainment"
Age of Chivalry,Microsoft Windows,2007,Action,N/A
Age of Empires II HD Edition,"Microsoft Windows, Mac OS, PlayStation 2",1999,Real-time strategy,"Microsoft (Win, Mac)"
Age of Empires III Complete Collection,"Microsoft Windows, OS X, Windows Mobile, N-Gage",2005,Real-time strategy,Microsoft Game Studios (PC)
Age of Mythology Extended Edition,"Microsoft Windows,[1]",2002,Real-time strategy,Microsoft Game Studios
Age of Wonders,Microsoft Windows,1999,Turn-based strategy,Gathering of Developers
Age of Wonders 2,Microsoft Windows,2002,Turn-based strategy,Gathering
AirMech,"Windows, Xbox 360, PlayStation 4, Xbox One",2015,Multiplayer online battle arena,Carbon Games
Akane the Kunoichi,"Xbox 360, Microsoft Windows, Windows Phone, iOS",2011,Platformer,Haruneko
Alan Wake's American Nightmare,Xbox 360,N/A,Third-person shooter,Microsoft Studios
Alice Madness Returns,"Microsoft Windows, PlayStation 3, Xbox 360",2011,"Action-adventure, platform",Electronic Arts
Alien Swarm,Microsoft Windows,2010,Top-down shooter,Valve Corporation
Aliens Colonial Marines,Microsoft Windows,2013,First-person shooter,Sega
Aliens versus Predator Classic 2000,Microsoft Windows,N/A,First-person shooter,Fox Interactive
All Zombies Must Die!,"Microsoft Windows, PlayStation 3, Xbox 360",2011,"Shooter, action-adventure",Square Enix
Alpha Prime,Microsoft Windows,N/A,First-person shooter,EU: IDEA Games
